id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN001,"Looking for a dinner party recipe using sweet potato, quinoa, and tofu that I can roast!","{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""sweet potato"",""quinoa"",""tofu""],""cooking_method"":""roasting""}",1,
SYN002,Has anyone tried roasting sweet potatoes and tofu for a dinner party? Need a Hetty McKinnon style recipe! 😋,"{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""sweet potato"",""quinoa"",""tofu""],""cooking_method"":""roasting""}",1,
SYN003,"i need a fancy but easy dinner recipe for guests using sweet potato & quinoa, what’s good?","{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""sweet potato"",""quinoa"",""tofu""],""cooking_method"":""roasting""}",1,
SYN004,"SUMMER dinner party ideas? Roasted sweet potato and tofu sounds great, help!","{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""sweet potato"",""quinoa"",""tofu""],""cooking_method"":""roasting""}",1,
SYN005,"need a nice recipe for dinner party🍽️ using quinoa and sweet potatoes, roasted preferably","{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""sweet potato"",""quinoa"",""tofu""],""cooking_method"":""roasting""}",1,
SYN006,Looking for an easy slow-cooked dinner with kimchi and chicken for tonight,"{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""kimchi"",""chicken"",""cabbage""],""cooking_method"":""slow cooking""}",1,
SYN007,can u give me a quick recipe for chicken and cabbage that uses kimchi?,"{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""kimchi"",""chicken"",""cabbage""],""cooking_method"":""slow cooking""}",1,
SYN008,I want to make kimchi chicken in the slow cooker but don't know where to start!,"{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""kimchi"",""chicken"",""cabbage""],""cooking_method"":""slow cooking""}",1,
SYN009,what's a simple way to cook chicken with kimchi and cabbage??,"{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""kimchi"",""chicken"",""cabbage""],""cooking_method"":""slow cooking""}",1,
SYN010,"need a tasty weeknight meal🤤 with chicken, kimchi, and cabbage in the slow cooker!!","{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""kimchi"",""chicken"",""cabbage""],""cooking_method"":""slow cooking""}",1,
SYN011,can u give me a brunch recipe with feta and spinach??,"{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""spinach"",""feta"",""pasta""],""cooking_method"":""sautéing""}",1,
SYN012,i need a yummy spinch and pasta recipe for brunch!,"{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""spinach"",""feta"",""pasta""],""cooking_method"":""sautéing""}",1,
SYN013,"What’s a good brunch recipe with spunach, feta, and pasta??","{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""spinach"",""feta"",""pasta""],""cooking_method"":""sautéing""}",1,
SYN014,brunch ideas??? something with feta and spinch i can sauté,"{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""spinach"",""feta"",""pasta""],""cooking_method"":""sautéing""}",1,
SYN015,lookin for an Ottolenghi-style brunch 😍 maybe w spinach and feta pasta,"{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""spinach"",""feta"",""pasta""],""cooking_method"":""sautéing""}",1,
SYN016,can you give me a no bake chocalate cookie and ice cream dessert recipe like eric kim's?,"{""occasion"":""dessert"",""author_style"":""Eric Kim"",""ingredients"":[""chocolate"",""cookies"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN017,need a quick and easy no-bake dessert for a party 🍪🍦,"{""occasion"":""dessert"",""author_style"":""Eric Kim"",""ingredients"":[""chocolate"",""cookies"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN018,i want to make ckocolate ice cream cookies but no baking! any ideas?,"{""occasion"":""dessert"",""author_style"":""Eric Kim"",""ingredients"":[""chocolate"",""cookies"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN019,what’s a no bake dessert i can whip up with chocolate and ice cream?,"{""occasion"":""dessert"",""author_style"":""Eric Kim"",""ingredients"":[""chocolate"",""cookies"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN020,how do i make a easy dessert with cookies choclate and ice cream without baking?,"{""occasion"":""dessert"",""author_style"":""Eric Kim"",""ingredients"":[""chocolate"",""cookies"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN021,"what are some easy summer picnic recipes with zuchini, tomato & lentils?","{""occasion"":""summer picnic"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""zuchini"",""tomato"",""lentils""],""cooking_method"":""grilling""}",1,
SYN022,need a cool grilled dish for my picnic 🥗,"{""occasion"":""summer picnic"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""zuchini"",""tomato"",""lentils""],""cooking_method"":""grilling""}",1,
SYN023,looking for a simple summer recipe from yotam ottolenghi with lentils 🍅🥒,"{""occasion"":""summer picnic"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""zuchini"",""tomato"",""lentils""],""cooking_method"":""grilling""}",1,
SYN024,can u suggest a fun way to grill zuchini and tomatos for a picnic?,"{""occasion"":""summer picnic"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""zuchini"",""tomato"",""lentils""],""cooking_method"":""grilling""}",1,
SYN025,"summers HERE! any ideas using zomato, lentils and maybe grill?","{""occasion"":""summer picnic"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""zuchini"",""tomato"",""lentils""],""cooking_method"":""grilling""}",1,
SYN026,looking for a no cook breakfast recipe with oats and spinach,"{""occasion"":""breakfast"",""author_style"":""Hetty McKinnon"",""ingredients"":[""oats"",""spinach"",""beans""],""cooking_method"":""no cook""}",1,
SYN027,"can u give me a quick brekkie idea with oats, beans and spinach? 🌱","{""occasion"":""breakfast"",""author_style"":""Hetty McKinnon"",""ingredients"":[""oats"",""spinach"",""beans""],""cooking_method"":""no cook""}",1,
SYN028,i need a chilled brekky that uses oats and some beans pls!,"{""occasion"":""breakfast"",""author_style"":""Hetty McKinnon"",""ingredients"":[""oats"",""spinach"",""beans""],""cooking_method"":""no cook""}",1,
SYN029,whats a good no cook breakfast with SPINACH and oats? 🤔,"{""occasion"":""breakfast"",""author_style"":""Hetty McKinnon"",""ingredients"":[""oats"",""spinach"",""beans""],""cooking_method"":""no cook""}",1,
SYN030,need a simple and healthy breakfast rxp with oats beans and spinach,"{""occasion"":""breakfast"",""author_style"":""Hetty McKinnon"",""ingredients"":[""oats"",""spinach"",""beans""],""cooking_method"":""no cook""}",1,
SYN031,any quick weeknight recipes using sweet potato zuchini and tofu?,"{""occasion"":""weeknight"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""sweet potato"",""zuchini"",""tofu""],""cooking_method"":""no cook""}",1,
SYN032,"looking for a no cook dinner, maybe with sweet potatoes ??","{""occasion"":""weeknight"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""sweet potato"",""zuchini"",""tofu""],""cooking_method"":""no cook""}",1,
SYN033,"need easy plant based dish for dinner, maybe sweet potato & tofu?","{""occasion"":""weeknight"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""sweet potato"",""zuchini"",""tofu""],""cooking_method"":""no cook""}",1,
SYN034,got any Yotam style recipes for sweet potato zuchini tofu? no cook pls!,"{""occasion"":""weeknight"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""sweet potato"",""zuchini"",""tofu""],""cooking_method"":""no cook""}",1,
SYN035,"whats a simple recipe with sweet potato, tofu, and zucchini for a weeknight?","{""occasion"":""weeknight"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""sweet potato"",""zuchini"",""tofu""],""cooking_method"":""no cook""}",1,
SYN036,looking for a cabbage and beans grilling recipe for a summer picnic!,"{""occasion"":""summer picnic"",""author_style"":""Eric Kim"",""ingredients"":[""grilling"",""cabbage"",""beans""],""cooking_method"":""grilling""}",1,
SYN037,grill ideas for summer picnic 🤔 i have cabbage and beans,"{""occasion"":""summer picnic"",""author_style"":""Eric Kim"",""ingredients"":[""grilling"",""cabbage"",""beans""],""cooking_method"":""grilling""}",1,
SYN038,got any easy grilling recipes with cabbage and beans for summer?,"{""occasion"":""summer picnic"",""author_style"":""Eric Kim"",""ingredients"":[""grilling"",""cabbage"",""beans""],""cooking_method"":""grilling""}",1,
SYN039,"Need A Fresh Summer Picnic RecipE, something with grilling, cabbage, and BEANS!!!","{""occasion"":""summer picnic"",""author_style"":""Eric Kim"",""ingredients"":[""grilling"",""cabbage"",""beans""],""cooking_method"":""grilling""}",1,
SYN040,smmr picnc recipe ideas- grillin cabbage nd beans pls!,"{""occasion"":""summer picnic"",""author_style"":""Eric Kim"",""ingredients"":[""grilling"",""cabbage"",""beans""],""cooking_method"":""grilling""}",1,
SYN041,can u suggest a delicious asparagus and fish dish for my dinner party ?,"{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""asparagus"",""quinoa"",""fish""],""cooking_method"":""sautéing""}",1,
SYN042,looking for a fun way to use quinoa and sautéed asparagus for a dinner party🥳,"{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""asparagus"",""quinoa"",""fish""],""cooking_method"":""sautéing""}",1,
SYN043,"What's a good dinner party recipe with fish, asparagus, and quinoa?","{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""asparagus"",""quinoa"",""fish""],""cooking_method"":""sautéing""}",1,
SYN044,"need dinner party ideas, something with fish and asparagus, keeping it simple","{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""asparagus"",""quinoa"",""fish""],""cooking_method"":""sautéing""}",1,
SYN045,sauteed fish & aspargus with quinoa for dinner tonight please!,"{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""asparagus"",""quinoa"",""fish""],""cooking_method"":""sautéing""}",1,
SYN046,can u give me a no bake chocolate brownie ice cream recipe? 😋,"{""occasion"":""dessert"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""brownies"",""chocolate"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN047,"looking for a delicious and easy no-bake dessert, like brownies with ice cream, inspired by ottolenghi","{""occasion"":""dessert"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""brownies"",""chocolate"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN048,"does anyone know a simple way to make brownies with ice cream, all without baking?","{""occasion"":""dessert"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""brownies"",""chocolate"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN049,"NO BAKE brownie dessert ideas plzzz, I love Ottolenghi's style! 🍰🍦","{""occasion"":""dessert"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""brownies"",""chocolate"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN050,i wanna try making ottolenghi style chocolate brownies but no baking!!! help!,"{""occasion"":""dessert"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""brownies"",""chocolate"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN051,can u give me a quick chicken and kimchi recipe for dinner?,"{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""chicken"",""cabbage"",""kimchi""],""cooking_method"":""sautéing""}",1,
SYN052,"I want to make a sautéed chicken with cabbage and kimchi recipe, something Eric Kim style!","{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""chicken"",""cabbage"",""kimchi""],""cooking_method"":""sautéing""}",1,
SYN053,"looking for an easy weeknight meal with chicken, cabbage, and kimchi","{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""chicken"",""cabbage"",""kimchi""],""cooking_method"":""sautéing""}",1,
SYN054,need a simple sauté recipe for chicken and kimchi for a weeknight dinner!!! 🤤,"{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""chicken"",""cabbage"",""kimchi""],""cooking_method"":""sautéing""}",1,
SYN055,"what's a good recipe to use chicken, kimchi, and cabbage? plz send me something quick","{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""chicken"",""cabbage"",""kimchi""],""cooking_method"":""sautéing""}",1,
SYN056,"Can you give me a brunch recipe with asparagus, eggs, and quinoa that doesn't require any cooking?","{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""asparagus"",""eggs"",""quinoa""],""cooking_method"":""no cook""}",1,
SYN057,looking for something easy and no cook for brunch - any ideas with asparagus or eggs?,"{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""asparagus"",""eggs"",""quinoa""],""cooking_method"":""no cook""}",1,
SYN058,"I want to impress my friends for brunch ☀️. any no-cook recipes from Yotam Ottolenghi that use quinoa, asparagus, and eggs?","{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""asparagus"",""eggs"",""quinoa""],""cooking_method"":""no cook""}",1,
SYN059,What's a no-cook brunch option that has eggs and quinoa? I love Ottolenghi's style! 😍,"{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""asparagus"",""eggs"",""quinoa""],""cooking_method"":""no cook""}",1,
SYN060,"Need ideas for a brunch dish, maybe with asparagus and eggs... no cooking though!","{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""asparagus"",""eggs"",""quinoa""],""cooking_method"":""no cook""}",1,
SYN061,"hey, can u suggest a roasted eggplant and lentil dish for my dinner party?","{""occasion"":""dinner party"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""eggplant"",""lentils"",""rice""],""cooking_method"":""roasting""}",1,
SYN062,"Looking for a fancy Ottolenghi inspired recipe with eggplant, lentils, and rice 🥘","{""occasion"":""dinner party"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""eggplant"",""lentils"",""rice""],""cooking_method"":""roasting""}",1,
SYN063,"i wanna make smth special for guests, maybe roasted lentils with rice and eggplant?","{""occasion"":""dinner party"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""eggplant"",""lentils"",""rice""],""cooking_method"":""roasting""}",1,
SYN064,Any good ideas for a dinner party? Maybe with some rice and roasted eggplant??,"{""occasion"":""dinner party"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""eggplant"",""lentils"",""rice""],""cooking_method"":""roasting""}",1,
SYN065,ROASTED eggplant with lentils recipe for dinner party plz!!,"{""occasion"":""dinner party"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""eggplant"",""lentils"",""rice""],""cooking_method"":""roasting""}",1,
SYN066,i really want a no bake dessert with chocolate cake and ice cream can u help?,"{""occasion"":""dessert"",""author_style"":""Eric Kim"",""ingredients"":[""chocolate"",""cake"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN067,can you suggest an easy no bake recipe for chocolate cake ice creem?,"{""occasion"":""dessert"",""author_style"":""Eric Kim"",""ingredients"":[""chocolate"",""cake"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN068,need a chill dessert idea 🍰🍦 that's no bake like maybe a choco cake,"{""occasion"":""dessert"",""author_style"":""Eric Kim"",""ingredients"":[""chocolate"",""cake"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN069,Looking for a yummy no bake chocolate dessert by Eric Kim! what do you suggest?,"{""occasion"":""dessert"",""author_style"":""Eric Kim"",""ingredients"":[""chocolate"",""cake"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN070,wanna make a chocolate cake with ice cream but no baking involved!!! help!!!,"{""occasion"":""dessert"",""author_style"":""Eric Kim"",""ingredients"":[""chocolate"",""cake"",""ice cream""],""cooking_method"":""no bake""}",1,
SYN071,any no-bake summer picnic recipes with zucchini and spinach?,"{""occasion"":""summer picnic"",""author_style"":""Hetty McKinnon"",""ingredients"":[""zucchini"",""tomato"",""spinach""],""cooking_method"":""no bake""}",1,
SYN072,"looking for a fresh, no bake dish for a summer picnic 🌞🍅","{""occasion"":""summer picnic"",""author_style"":""Hetty McKinnon"",""ingredients"":[""zucchini"",""tomato"",""spinach""],""cooking_method"":""no bake""}",1,
